Column,Position,Num_Cells1,Dens1,Num_Cells2,Dens2,Num_Cells3,Dens3,AvgCell,AvgDens,DensSD,CV,Time
1,25,35,4.90E-04,33,4.62E-04,42,5.87E-04,37,5.13E-04,6.61E-05,1.29E+01,0
2,75,36,5.03E-04,46,6.43E-04,47,6.57E-04,43,6.01E-04,8.51E-05,1.41E+01,0
3,125,38,5.31E-04,47,6.57E-04,34,4.76E-04,40,5.55E-04,9.31E-05,1.68E+01,0
4,175,30,4.20E-04,40,5.59E-04,32,4.48E-04,34,4.76E-04,7.40E-05,1.56E+01,0
5,225,20,2.80E-04,17,2.38E-04,38,5.31E-04,25,3.50E-04,1.59E-04,4.54E+01,0
6,275,21,2.94E-04,15,2.10E-04,31,4.34E-04,22,3.12E-04,1.13E-04,3.62E+01,0
7,325,27,3.78E-04,23,3.22E-04,30,4.20E-04,27,3.73E-04,4.91E-05,1.32E+01,0
8,375,28,3.92E-04,23,3.22E-04,23,3.22E-04,25,3.45E-04,4.04E-05,1.17E+01,0
9,425,33,4.62E-04,32,4.48E-04,27,3.78E-04,31,4.29E-04,4.50E-05,1.05E+01,0
10,475,28,3.92E-04,31,4.34E-04,18,2.52E-04,26,3.59E-04,9.52E-05,2.65E+01,0
11,525,18,2.52E-04,32,4.48E-04,19,2.66E-04,23,3.22E-04,1.09E-04,3.40E+01,0
12,575,18,2.52E-04,26,3.64E-04,19,2.66E-04,21,2.94E-04,6.10E-05,2.08E+01,0
13,625,10,1.40E-04,1,1.40E-05,8,1.12E-04,6,8.86E-05,6.61E-05,7.46E+01,0
14,675,1,1.40E-05,2,2.80E-05,2,2.80E-05,2,2.33E-05,8.07E-06,3.46E+01,0
15,725,2,2.80E-05,2,2.80E-05,1,1.40E-05,2,2.33E-05,8.07E-06,3.46E+01,0
16,775,1,1.40E-05,0,0.00E+00,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,0
17,825,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
18,875,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
19,925,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
20,975,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
21,1025,0,0.00E+00,2,2.80E-05,0,0.00E+00,1,9.32E-06,1.61E-05,1.73E+02,0
22,1075,0,0.00E+00,2,2.80E-05,0,0.00E+00,1,9.32E-06,1.61E-05,1.73E+02,0
23,1125,0,0.00E+00,8,1.12E-04,1,1.40E-05,3,4.20E-05,6.10E-05,1.45E+02,0
24,1175,0,0.00E+00,4,5.59E-05,1,1.40E-05,2,2.33E-05,2.91E-05,1.25E+02,0
25,1225,0,0.00E+00,2,2.80E-05,0,0.00E+00,1,9.32E-06,1.61E-05,1.73E+02,0
26,1275,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
27,1325,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
28,1375,1,1.40E-05,0,0.00E+00,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,0
29,1425,10,1.40E-04,20,2.80E-04,16,2.24E-04,15,2.14E-04,7.04E-05,3.28E+01,0
30,1475,19,2.66E-04,40,5.59E-04,28,3.92E-04,29,4.06E-04,1.47E-04,3.63E+01,0
31,1525,39,5.45E-04,37,5.17E-04,31,4.34E-04,36,4.99E-04,5.82E-05,1.17E+01,0
32,1575,28,3.92E-04,35,4.90E-04,20,2.80E-04,28,3.87E-04,1.05E-04,2.71E+01,0
33,1625,29,4.06E-04,37,5.17E-04,24,3.36E-04,30,4.20E-04,9.17E-05,2.19E+01,0
34,1675,39,5.45E-04,24,3.36E-04,15,2.10E-04,26,3.64E-04,1.70E-04,4.66E+01,0
35,1725,36,5.03E-04,25,3.50E-04,24,3.36E-04,28,3.96E-04,9.31E-05,2.35E+01,0
36,1775,26,3.64E-04,23,3.22E-04,31,4.34E-04,27,3.73E-04,5.65E-05,1.52E+01,0
37,1825,47,6.57E-04,22,3.08E-04,26,3.64E-04,32,4.43E-04,1.88E-04,4.24E+01,0
38,1875,30,4.20E-04,26,3.64E-04,32,4.48E-04,29,4.10E-04,4.27E-05,1.04E+01,0
1,25,37,5.17E-04,58,8.11E-04,48,6.71E-04,48,6.67E-04,1.47E-04,2.20E+01,12
2,75,45,6.29E-04,49,6.85E-04,50,6.99E-04,48,6.71E-04,3.70E-05,5.51E+00,12
3,125,51,7.13E-04,48,6.71E-04,43,6.01E-04,47,6.62E-04,5.65E-05,8.54E+00,12
4,175,34,4.76E-04,39,5.45E-04,38,5.31E-04,37,5.17E-04,3.70E-05,7.15E+00,12
5,225,34,4.76E-04,24,3.36E-04,40,5.59E-04,33,4.57E-04,1.13E-04,2.47E+01,12
6,275,33,4.62E-04,21,2.94E-04,38,5.31E-04,31,4.29E-04,1.22E-04,2.85E+01,12
7,325,34,4.76E-04,25,3.50E-04,31,4.34E-04,30,4.20E-04,6.41E-05,1.53E+01,12
8,375,30,4.20E-04,29,4.06E-04,30,4.20E-04,30,4.15E-04,8.07E-06,1.95E+00,12
9,425,28,3.92E-04,36,5.03E-04,25,3.50E-04,30,4.15E-04,7.95E-05,1.92E+01,12
10,475,29,4.06E-04,34,4.76E-04,22,3.08E-04,28,3.96E-04,8.43E-05,2.13E+01,12
11,525,17,2.38E-04,24,3.36E-04,18,2.52E-04,20,2.75E-04,5.30E-05,1.93E+01,12
12,575,17,2.38E-04,16,2.24E-04,14,1.96E-04,16,2.19E-04,2.14E-05,9.75E+00,12
13,625,14,1.96E-04,0,0.00E+00,10,1.40E-04,8,1.12E-04,1.01E-04,9.01E+01,12
14,675,3,4.20E-05,1,1.40E-05,4,5.59E-05,3,3.73E-05,2.14E-05,5.73E+01,12
15,725,0,0.00E+00,0,0.00E+00,4,5.59E-05,1,1.86E-05,3.23E-05,1.73E+02,12
16,775,0,0.00E+00,2,2.80E-05,4,5.59E-05,2,2.80E-05,2.80E-05,1.00E+02,12
17,825,2,2.80E-05,0,0.00E+00,4,5.59E-05,2,2.80E-05,2.80E-05,0.00E+00,12
18,875,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,12
19,925,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,12
20,975,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,12
21,1025,0,0.00E+00,1,1.40E-05,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,12
22,1075,0,0.00E+00,5,6.99E-05,0,0.00E+00,2,2.33E-05,4.04E-05,1.73E+02,12
23,1125,0,0.00E+00,9,1.26E-04,0,0.00E+00,3,4.20E-05,7.27E-05,1.73E+02,12
24,1175,0,0.00E+00,4,5.59E-05,1,1.40E-05,2,2.33E-05,2.91E-05,1.25E+02,12
25,1225,1,1.40E-05,5,6.99E-05,0,0.00E+00,2,2.80E-05,3.70E-05,1.32E+02,12
26,1275,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,12
27,1325,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,12
28,1375,0,0.00E+00,0,0.00E+00,3,4.20E-05,1,1.40E-05,2.42E-05,1.73E+02,12
29,1425,21,2.94E-04,24,3.36E-04,16,2.24E-04,20,2.84E-04,5.65E-05,1.99E+01,12
30,1475,36,5.03E-04,46,6.43E-04,38,5.31E-04,40,5.59E-04,7.40E-05,1.32E+01,12
31,1525,26,3.64E-04,43,6.01E-04,25,3.50E-04,31,4.38E-04,1.41E-04,3.23E+01,12
32,1575,26,3.64E-04,39,5.45E-04,31,4.34E-04,32,4.48E-04,9.17E-05,2.05E+01,12
33,1625,37,5.17E-04,36,5.03E-04,26,3.64E-04,33,4.62E-04,8.51E-05,1.84E+01,12
34,1675,36,5.03E-04,40,5.59E-04,25,3.50E-04,34,4.71E-04,1.09E-04,2.31E+01,12
35,1725,38,5.31E-04,30,4.20E-04,32,4.48E-04,33,4.66E-04,5.82E-05,1.25E+01,12
36,1775,34,4.76E-04,25,3.50E-04,27,3.78E-04,29,4.01E-04,6.61E-05,1.65E+01,12
37,1825,42,5.87E-04,29,4.06E-04,30,4.20E-04,34,4.71E-04,1.01E-04,2.15E+01,12
38,1875,35,4.90E-04,29,4.06E-04,42,5.87E-04,35,4.94E-04,9.10E-05,1.84E+01,12
1,25,79,1.10E-03,74,1.03E-03,74,1.03E-03,76,1.06E-03,4.04E-05,3.82E+00,24
2,75,64,8.95E-04,59,8.25E-04,52,7.27E-04,58,8.16E-04,8.43E-05,1.03E+01,24
3,125,67,9.37E-04,70,9.79E-04,54,7.55E-04,64,8.90E-04,1.19E-04,1.34E+01,24
4,175,60,8.39E-04,58,8.11E-04,49,6.85E-04,56,7.79E-04,8.20E-05,1.05E+01,24
5,225,59,8.25E-04,56,7.83E-04,57,7.97E-04,57,8.02E-04,2.14E-05,2.66E+00,24
6,275,40,5.59E-04,54,7.55E-04,51,7.13E-04,48,6.76E-04,1.03E-04,1.53E+01,24
7,325,54,7.55E-04,44,6.15E-04,52,7.27E-04,50,6.99E-04,7.40E-05,1.06E+01,24
8,375,43,6.01E-04,43,6.01E-04,38,5.31E-04,41,5.78E-04,4.04E-05,6.98E+00,24
9,425,41,5.73E-04,43,6.01E-04,26,3.64E-04,37,5.13E-04,1.30E-04,2.53E+01,24
10,475,48,6.71E-04,44,6.15E-04,30,4.20E-04,41,5.69E-04,1.32E-04,2.32E+01,24
11,525,43,6.01E-04,35,4.90E-04,28,3.92E-04,35,4.94E-04,1.05E-04,2.12E+01,24
12,575,43,6.01E-04,36,5.03E-04,29,4.06E-04,36,5.03E-04,9.79E-05,1.94E+01,24
13,625,33,4.62E-04,11,1.54E-04,9,1.26E-04,18,2.47E-04,1.86E-04,7.54E+01,24
14,675,4,5.59E-05,10,1.40E-04,27,3.78E-04,14,1.91E-04,1.67E-04,8.73E+01,24
15,725,0,0.00E+00,0,0.00E+00,15,2.10E-04,5,6.99E-05,1.21E-04,1.73E+02,24
16,775,0,0.00E+00,0,0.00E+00,22,3.08E-04,7,1.03E-04,1.78E-04,1.73E+02,24
17,825,0,0.00E+00,0,0.00E+00,16,2.24E-04,5,7.46E-05,1.29E-04,0.00E+00,24
18,875,2,2.80E-05,0,0.00E+00,1,1.40E-05,1,1.40E-05,1.40E-05,0.00E+00,24
19,925,0,0.00E+00,1,1.40E-05,0,0.00E+00,0,4.66E-06,8.07E-06,0.00E+00,24
20,975,0,0.00E+00,2,2.80E-05,0,0.00E+00,1,9.32E-06,1.61E-05,0.00E+00,24
21,1025,0,0.00E+00,3,4.20E-05,0,0.00E+00,1,1.40E-05,2.42E-05,1.73E+02,24
22,1075,0,0.00E+00,5,6.99E-05,0,0.00E+00,2,2.33E-05,4.04E-05,1.73E+02,24
23,1125,0,0.00E+00,9,1.26E-04,0,0.00E+00,3,4.20E-05,7.27E-05,1.73E+02,24
24,1175,0,0.00E+00,6,8.39E-05,0,0.00E+00,2,2.80E-05,4.84E-05,1.73E+02,24
25,1225,0,0.00E+00,4,5.59E-05,1,1.40E-05,2,2.33E-05,2.91E-05,1.25E+02,24
26,1275,1,1.40E-05,1,1.40E-05,0,0.00E+00,1,9.32E-06,8.07E-06,0.00E+00,24
27,1325,3,4.20E-05,2,2.80E-05,2,2.80E-05,2,3.26E-05,8.07E-06,0.00E+00,24
28,1375,14,1.96E-04,14,1.96E-04,11,1.54E-04,13,1.82E-04,2.42E-05,1.33E+01,24
29,1425,45,6.29E-04,47,6.57E-04,45,6.29E-04,46,6.39E-04,1.61E-05,2.53E+00,24
30,1475,45,6.29E-04,59,8.25E-04,51,7.13E-04,52,7.23E-04,9.82E-05,1.36E+01,24
31,1525,41,5.73E-04,47,6.57E-04,62,8.67E-04,50,6.99E-04,1.51E-04,2.16E+01,24
32,1575,50,6.99E-04,48,6.71E-04,49,6.85E-04,49,6.85E-04,1.40E-05,2.04E+00,24
33,1625,60,8.39E-04,54,7.55E-04,50,6.99E-04,55,7.65E-04,7.04E-05,9.21E+00,24
34,1675,48,6.71E-04,51,7.13E-04,53,7.41E-04,51,7.09E-04,3.52E-05,4.97E+00,24
35,1725,44,6.15E-04,51,7.13E-04,47,6.57E-04,47,6.62E-04,4.91E-05,7.42E+00,24
36,1775,52,7.27E-04,46,6.43E-04,45,6.29E-04,48,6.67E-04,5.30E-05,7.94E+00,24
37,1825,54,7.55E-04,52,7.27E-04,52,7.27E-04,53,7.37E-04,1.61E-05,2.19E+00,24
38,1875,60,8.39E-04,55,7.69E-04,42,5.87E-04,52,7.32E-04,1.30E-04,1.78E+01,24
1,25,84,1.17E-03,91,1.27E-03,92,1.29E-03,89,1.24E-03,6.10E-05,4.90E+00,36
2,75,96,1.34E-03,89,1.24E-03,75,1.05E-03,87,1.21E-03,1.50E-04,1.23E+01,36
3,125,69,9.65E-04,82,1.15E-03,66,9.23E-04,72,1.01E-03,1.19E-04,1.18E+01,36
