Column,Position,Num_Cells1,Dens1,Num_Cells2,Dens2,Num_Cells3,Dens3,AvgCell,AvgDens,DensSD,CV,Time
1,25,88,1.23E-03,91,1.27E-03,89,1.24E-03,89,1.25E-03,2.14E-05,1.71E+00,0
2,75,75,1.05E-03,77,1.08E-03,81,1.13E-03,78,1.09E-03,4.27E-05,3.93E+00,0
3,125,84,1.17E-03,95,1.33E-03,81,1.13E-03,87,1.21E-03,1.03E-04,8.51E+00,0
4,175,80,1.12E-03,80,1.12E-03,79,1.10E-03,80,1.11E-03,8.07E-06,7.25E-01,0
5,225,75,1.05E-03,75,1.05E-03,88,1.23E-03,79,1.11E-03,1.05E-04,9.46E+00,0
6,275,81,1.13E-03,83,1.16E-03,71,9.93E-04,78,1.10E-03,8.99E-05,8.21E+00,0
7,325,81,1.13E-03,93,1.30E-03,76,1.06E-03,83,1.17E-03,1.22E-04,1.05E+01,0
8,375,87,1.22E-03,80,1.12E-03,80,1.12E-03,82,1.15E-03,5.65E-05,4.91E+00,0
9,425,92,1.29E-03,75,1.05E-03,88,1.23E-03,85,1.19E-03,1.24E-04,1.05E+01,0
10,475,69,9.65E-04,78,1.09E-03,75,1.05E-03,74,1.03E-03,6.41E-05,6.19E+00,0
11,525,47,6.57E-04,86,1.20E-03,79,1.10E-03,71,9.88E-04,2.91E-04,2.94E+01,0
12,575,14,1.96E-04,45,6.29E-04,71,9.93E-04,43,6.06E-04,3.99E-04,6.59E+01,0
13,625,10,1.40E-04,0,0.00E+00,7,9.79E-05,6,7.93E-05,7.18E-05,9.06E+01,0
14,675,8,1.12E-04,0,0.00E+00,0,0.00E+00,3,3.73E-05,6.46E-05,1.73E+02,0
15,725,2,2.80E-05,0,0.00E+00,4,5.59E-05,2,2.80E-05,2.80E-05,1.00E+02,0
16,775,3,4.20E-05,0,0.00E+00,1,1.40E-05,1,1.86E-05,2.14E-05,1.15E+02,0
17,825,5,6.99E-05,0,0.00E+00,1,1.40E-05,2,2.80E-05,3.70E-05,1.32E+02,0
18,875,4,5.59E-05,0,0.00E+00,0,0.00E+00,1,1.86E-05,3.23E-05,1.73E+02,0
19,925,4,5.59E-05,0,0.00E+00,1,1.40E-05,2,2.33E-05,2.91E-05,1.25E+02,0
20,975,4,5.59E-05,0,0.00E+00,1,1.40E-05,2,2.33E-05,2.91E-05,1.25E+02,0
21,1025,8,1.12E-04,1,1.40E-05,1,1.40E-05,3,4.66E-05,5.65E-05,1.21E+02,0
22,1075,2,2.80E-05,0,0.00E+00,1,1.40E-05,1,1.40E-05,1.40E-05,1.00E+02,0
