Column,Position,Num_Cells1,Dens1,Num_Cells2,Dens2,Num_Cells3,Dens3,AvgCell,AvgDens,DensSD,CV,Time
1,25,21,2.94E-04,17,2.38E-04,24,3.36E-04,21,2.89E-04,4.91E-05,1.70E+01,0
2,75,24,3.36E-04,19,2.66E-04,24,3.36E-04,22,3.12E-04,4.04E-05,1.29E+01,0
3,125,15,2.10E-04,19,2.66E-04,22,3.08E-04,19,2.61E-04,4.91E-05,1.88E+01,0
4,175,13,1.82E-04,18,2.52E-04,19,2.66E-04,17,2.33E-04,4.50E-05,1.93E+01,0
5,225,20,2.80E-04,17,2.38E-04,28,3.92E-04,22,3.03E-04,7.95E-05,2.62E+01,0
6,275,13,1.82E-04,20,2.80E-04,21,2.94E-04,18,2.52E-04,6.10E-05,2.42E+01,0
7,325,18,2.52E-04,20,2.80E-04,16,2.24E-04,18,2.52E-04,2.80E-05,1.11E+01,0
8,375,17,2.38E-04,14,1.96E-04,18,2.52E-04,16,2.28E-04,2.91E-05,1.27E+01,0
9,425,23,3.22E-04,9,1.26E-04,20,2.80E-04,17,2.42E-04,1.03E-04,4.25E+01,0
10,475,22,3.08E-04,23,3.22E-04,6,8.39E-05,17,2.38E-04,1.33E-04,5.61E+01,0
11,525,15,2.10E-04,15,2.10E-04,11,1.54E-04,14,1.91E-04,3.23E-05,1.69E+01,0
12,575,12,1.68E-04,9,1.26E-04,8,1.12E-04,10,1.35E-04,2.91E-05,2.15E+01,0
13,625,12,1.68E-04,13,1.82E-04,5,6.99E-05,10,1.40E-04,6.10E-05,4.36E+01,0
14,675,16,2.24E-04,10,1.40E-04,2,2.80E-05,9,1.31E-04,9.82E-05,7.53E+01,0
15,725,14,1.96E-04,3,4.20E-05,0,0.00E+00,6,7.93E-05,1.03E-04,1.30E+02,0
16,775,7,9.79E-05,3,4.20E-05,0,0.00E+00,3,4.66E-05,4.91E-05,1.05E+02,0
17,825,3,4.20E-05,5,6.99E-05,0,0.00E+00,3,3.73E-05,3.52E-05,9.44E+01,0
18,875,1,1.40E-05,8,1.12E-04,1,1.40E-05,3,4.66E-05,5.65E-05,1.21E+02,0
19,925,1,1.40E-05,9,1.26E-04,0,0.00E+00,3,4.66E-05,6.90E-05,1.48E+02,0
20,975,2,2.80E-05,14,1.96E-04,0,0.00E+00,5,7.46E-05,1.06E-04,1.42E+02,0
21,1025,2,2.80E-05,12,1.68E-04,0,0.00E+00,5,6.53E-05,8.99E-05,1.38E+02,0
22,1075,0,0.00E+00,6,8.39E-05,0,0.00E+00,2,2.80E-05,4.84E-05,1.73E+02,0
23,1125,2,2.80E-05,5,6.99E-05,1,1.40E-05,3,3.73E-05,2.91E-05,7.81E+01,0
24,1175,0,0.00E+00,2,2.80E-05,1,1.40E-05,1,1.40E-05,1.40E-05,1.00E+02,0
25,1225,0,0.00E+00,0,0.00E+00,1,1.40E-05,0,4.66E-06,8.07E-06,1.73E+02,0
26,1275,0,0.00E+00,2,2.80E-05,1,1.40E-05,1,1.40E-05,1.40E-05,1.00E+02,0
27,1325,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
28,1375,0,0.00E+00,1,1.40E-05,1,1.40E-05,1,9.32E-06,8.07E-06,8.66E+01,0
29,1425,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
30,1475,2,2.80E-05,2,2.80E-05,2,2.80E-05,2,2.80E-05,0.00E+00,,0
31,1525,4,5.59E-05,0,0.00E+00,17,2.38E-04,7,9.79E-05,1.24E-04,1.27E+02,0
32,1575,11,1.54E-04,0,0.00E+00,26,3.64E-04,12,1.72E-04,1.83E-04,1.06E+02,0
33,1625,15,2.10E-04,24,3.36E-04,15,2.10E-04,18,2.52E-04,7.27E-05,2.89E+01,0
34,1675,20,2.80E-04,32,4.48E-04,27,3.78E-04,26,3.68E-04,8.43E-05,2.29E+01,0
35,1725,17,2.38E-04,32,4.48E-04,26,3.64E-04,25,3.50E-04,1.06E-04,3.02E+01,0
36,1775,13,1.82E-04,37,5.17E-04,38,5.31E-04,29,4.10E-04,1.98E-04,4.83E+01,0
37,1825,19,2.66E-04,30,4.20E-04,22,3.08E-04,24,3.31E-04,7.95E-05,2.40E+01,0
38,1875,28,3.92E-04,29,4.06E-04,18,2.52E-04,25,3.50E-04,8.51E-05,2.43E+01,0
1,25,23,3.22E-04,23,3.22E-04,28,3.92E-04,25,3.45E-04,4.04E-05,1.17E+01,12
2,75,24,3.36E-04,23,3.22E-04,27,3.78E-04,25,3.45E-04,2.91E-05,8.44E+00,12
3,125,15,2.10E-04,16,2.24E-04,26,3.64E-04,19,2.66E-04,8.51E-05,3.20E+01,12
4,175,16,2.24E-04,14,1.96E-04,22,3.08E-04,17,2.42E-04,5.82E-05,2.40E+01,12
5,225,23,3.22E-04,19,2.66E-04,33,4.62E-04,25,3.50E-04,1.01E-04,2.88E+01,12
6,275,34,4.76E-04,28,3.92E-04,22,3.08E-04,28,3.92E-04,8.39E-05,2.14E+01,12
7,325,23,3.22E-04,13,1.82E-04,31,4.34E-04,22,3.12E-04,1.26E-04,4.04E+01,12
8,375,24,3.36E-04,16,2.24E-04,27,3.78E-04,22,3.12E-04,7.95E-05,2.55E+01,12
9,425,23,3.22E-04,9,1.26E-04,16,2.24E-04,16,2.24E-04,9.79E-05,4.38E+01,12
10,475,23,3.22E-04,22,3.08E-04,9,1.26E-04,18,2.52E-04,1.09E-04,4.34E+01,12
11,525,17,2.38E-04,13,1.82E-04,7,9.79E-05,12,1.72E-04,7.04E-05,4.08E+01,12
12,575,17,2.38E-04,7,9.79E-05,11,1.54E-04,12,1.63E-04,7.04E-05,4.31E+01,12
13,625,10,1.40E-04,7,9.79E-05,8,1.12E-04,8,1.17E-04,2.14E-05,1.83E+01,12
14,675,13,1.82E-04,14,1.96E-04,6,8.39E-05,11,1.54E-04,6.10E-05,3.96E+01,12
15,725,10,1.40E-04,10,1.40E-04,3,4.20E-05,8,1.07E-04,5.65E-05,5.27E+01,12
16,775,9,1.26E-04,3,4.20E-05,1,1.40E-05,4,6.06E-05,5.82E-05,9.61E+01,12
17,825,12,1.68E-04,9,1.26E-04,1,1.40E-05,7,1.03E-04,7.95E-05,7.75E+01,12
18,875,3,4.20E-05,8,1.12E-04,0,0.00E+00,4,5.13E-05,5.65E-05,1.10E+02,12
19,925,4,5.59E-05,10,1.40E-04,0,0.00E+00,5,6.53E-05,7.04E-05,1.08E+02,12
20,975,4,5.59E-05,13,1.82E-04,2,2.80E-05,6,8.86E-05,8.20E-05,9.25E+01,12
21,1025,1,1.40E-05,10,1.40E-04,0,0.00E+00,4,5.13E-05,7.70E-05,1.50E+02,12
22,1075,0,0.00E+00,6,8.39E-05,1,1.40E-05,2,3.26E-05,4.50E-05,1.38E+02,12
23,1125,2,2.80E-05,2,2.80E-05,1,1.40E-05,2,2.33E-05,8.07E-06,3.46E+01,12
24,1175,0,0.00E+00,2,2.80E-05,0,0.00E+00,1,9.32E-06,1.61E-05,1.73E+02,12
25,1225,0,0.00E+00,3,4.20E-05,1,1.40E-05,1,1.86E-05,2.14E-05,1.15E+02,12
26,1275,0,0.00E+00,0,0.00E+00,1,1.40E-05,0,4.66E-06,8.07E-06,1.73E+02,12
